nome,status,url_final
Cebola,ok,https://wtttdomogogjmozbmdie.supabase.co/storage/v1/object/public/comanda-products/cebola.jpg
Uva Roxa,ok,https://wtttdomogogjmozbmdie.supabase.co/storage/v1/object/public/comanda-products/uva-roxa.jpg
